abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Pressure', 'Snow Cloak']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,85,20480,35,580,3,Freeze Pokémon,100,1250000,1.7,90,Freezerフリーザー,Articuno,,144,95,125,85,ice,flying,55.4,1,1
"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,90,20480,35,580,3,Electric Pokémon,85,1250000,1.6,90,Thunderサンダー,Zapdos,,145,125,90,100,electric,flying,52.6,1,1
"['Pressure', 'Flame Body']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,100,20480,35,580,3,Flame Pokémon,90,1250000,2.0,90,Fireファイヤー,Moltres,,146,125,85,90,fire,flying,60.0,1,1
"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,150,30720,0,780,3,Genetic Pokémon,70,1250000,2.0,106,Mewtwoミュウツー,Mewtwo,,150,194,120,140,psychic,,122.0,1,1
['Synchronize'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,30720,100,600,45,New Species Pokémon,100,1059860,0.4,100,Mewミュウ,Mew,,151,100,100,100,psychic,,4.0,1,1
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,Raikou,,243,115,100,115,electric,,178.0,2,1
"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,Entei,,244,90,75,100,fire,,198.0,2,1
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2.0,100,Suicuneスイクン,Suicune,,245,90,115,85,water,,187.0,2,1
"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,Lugia,,249,90,154,110,psychic,flying,216.0,2,1
"['Pressure', 'Regenerator']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,Ho-Oh,,250,110,154,90,fire,flying,199.0,2,1
['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,Celebi,,251,100,100,100,psychic,grass,5.0,2,1
"['Clear Body', 'Sturdy']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,100,20480,35,580,3,Rock Peak Pokémon,200,1250000,1.7,80,Regirockレジロック,Regirock,,377,50,100,50,rock,,230.0,3,1
"['Clear Body', 'Ice Body']",1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,50,20480,35,580,3,Iceberg Pokémon,100,1250000,1.8,80,Regiceレジアイス,Regice,,378,100,200,50,ice,,175.0,3,1
"['Clear Body', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,2.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,75,20480,35,580,3,Iron Pokémon,150,1250000,1.9,80,Registeelレジスチル,Registeel,,379,75,150,50,steel,,205.0,3,1
['Levitate'],2.0,2.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,100,30720,90,700,3,Eon Pokémon,120,1250000,1.4,80,Latiasラティアス,Latias,0.0,380,140,150,110,dragon,psychic,40.0,3,1
['Levitate'],2.0,2.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,130,30720,90,700,3,Eon Pokémon,100,1250000,2.0,80,Latiosラティオス,Latios,100.0,381,160,120,110,dragon,psychic,60.0,3,1
['Drizzle'],1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,150,30720,0,770,3,Sea Basin Pokémon,90,1250000,4.5,100,Kyogreカイオーガ,Kyogre,,382,180,160,90,water,,352.0,3,1
['Drought'],1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,180,30720,0,770,3,Continent Pokémon,160,1250000,3.5,100,Groudonグラードン,Groudon,,383,150,90,90,ground,,950.0,3,1
['Air Lock'],0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,180,30720,0,780,45,Sky High Pokémon,100,1250000,7.0,105,Rayquazaレックウザ,Rayquaza,,384,180,100,115,dragon,flying,206.5,3,1
['Serene Grace'],1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,100,30720,100,600,3,Wish Pokémon,100,1250000,0.3,100,Jirachiジラーチ,Jirachi,,385,100,100,100,steel,psychic,1.1,3,1
['Pressure'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,95,30720,0,600,3,DNA Pokémon,90,1250000,1.7,50,Deoxysデオキシス,Deoxys,,386,95,90,180,psychic,,60.8,3,1
['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,75,20480,140,580,3,Knowledge Pokémon,130,1250000,0.3,75,Yuxieユクシー,Uxie,,480,75,130,95,psychic,,0.3,4,1
['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,105,20480,140,580,3,Emotion Pokémon,105,1250000,0.3,80,Emritエムリット,Mesprit,,481,105,105,80,psychic,,0.3,4,1
['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,125,20480,140,580,3,Willpower Pokémon,70,1250000,0.3,75,Agnomeアグノム,Azelf,,482,125,70,115,psychic,,0.3,4,1
"['Pressure', 'Telepathy']",0.5,1.0,1.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,2.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,120,30720,0,680,3,Temporal Pokémon,120,1250000,5.4,100,Dialgaディアルガ,Dialga,,483,150,100,90,steel,dragon,683.0,4,1
"['Pressure', 'Telepathy']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,120,30720,0,680,3,Spatial Pokémon,100,1250000,4.2,90,Palkiaパルキア,Palkia,,484,150,120,100,water,dragon,336.0,4,1
"['Flash Fire', 'Flame Body']",0.25,1.0,0.5,1.0,0.25,2.0,1.0,0.5,1.0,0.25,4.0,0.25,0.5,0.0,0.5,1.0,0.25,2.0,90,2560,100,600,3,Lava Dome Pokémon,106,1250000,1.7,91,Heatranヒードラン,Heatran,50.0,485,130,106,77,fire,steel,430.0,4,1
['Slow Start'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160,30720,0,670,3,Colossal Pokémon,110,1250000,3.7,110,Regigigasレジギガス,Regigigas,,486,80,110,100,normal,,420.0,4,1
"['Pressure', 'Telepathy', 'Levitate']",0.5,2.0,2.0,0.5,2.0,0.0,0.5,1.0,2.0,0.5,1.0,2.0,0.0,0.5,1.0,1.0,1.0,0.5,120,30720,0,680,3,Renegade Pokémon,100,1250000,4.5,150,Giratina (another Forme)ギラティナ,Giratina,,487,120,100,90,ghost,dragon,750.0,4,1
['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,70,30720,100,600,3,Lunar Pokémon,120,1250000,1.5,120,Cresseliaクレセリア,Cresselia,0.0,488,75,130,85,psychic,,85.6,4,1
['Hydration'],1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,100,2560,70,600,3,Seafaring Pokémon,100,1250000,0.3,100,Manaphyマナフィ,Manaphy,,490,100,100,100,water,,1.4,4,1
['Bad Dreams'],2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,90,30720,0,600,3,Pitch-Black Pokémon,90,1250000,1.5,70,Darkraiダークライ,Darkrai,,491,135,90,125,dark,,50.5,4,1
"['Natural Cure', 'Serene Grace']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,103,30720,100,600,45,Gratitude Pokémon,75,1059860,0.2,100,Shaymin (sky Forme)シェイミ,Shaymin,,492,120,75,127,grass,grass,2.1,4,1
['Multitype'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,30720,0,720,3,Alpha Pokémon,120,1250000,3.2,120,Arceusアルセウス,Arceus,,493,120,120,120,normal,,320.0,4,1
['Victory Star'],1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,2.0,0.5,2.0,100,30720,100,600,3,Victory Pokémon,100,1250000,0.4,100,Victiniビクティニ,Victini,,494,100,100,100,psychic,fire,4.0,5,1
['Justified'],0.25,0.5,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,2.0,0.5,0.5,0.0,1.0,0.25,0.5,1.0,90,20480,35,580,3,Iron Will Pokémon,129,1250000,2.1,91,Cobalonコバルオン,Cobalion,,638,90,72,108,steel,fighting,250.0,5,1
['Justified'],0.5,0.5,1.0,1.0,2.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,0.5,2.0,2.0,129,20480,35,580,3,Cavern Pokémon,90,1250000,1.9,91,Terrakionテラキオン,Terrakion,,639,72,90,108,rock,fighting,260.0,5,1
['Justified'],1.0,0.5,1.0,0.5,2.0,1.0,2.0,4.0,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5,90,20480,35,580,3,Grassland Pokémon,72,1250000,2.0,91,Virizionビリジオン,Virizion,,640,90,129,108,grass,fighting,200.0,5,1
"['Prankster', 'Defiant', 'Regenerator']",0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,100,30720,90,580,3,Cyclone Pokémon,80,1250000,1.5,79,Tornelos (keshin Forme)トルネロス,Tornadus,100.0,641,110,90,121,flying,,63.0,5,1
"['Prankster', 'Defiant', 'Volt Absorb']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,105,30720,90,580,3,Bolt Strike Pokémon,70,1250000,1.5,79,Voltolos (keshin Forme)ボルトロス,Thundurus,100.0,642,145,80,101,electric,flying,61.0,5,1
['Turboblaze'],0.5,1.0,2.0,0.5,1.0,1.0,0.25,1.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,120,30720,0,680,3,Vast White Pokémon,100,1250000,3.2,100,Reshiramレシラム,Reshiram,,643,150,120,90,dragon,fire,330.0,5,1
['Teravolt'],1.0,1.0,2.0,0.25,2.0,1.0,0.5,0.5,1.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,150,30720,0,680,3,Deep Black Pokémon,120,1250000,2.9,100,Zekromゼクロム,Zekrom,,644,120,100,90,dragon,electric,345.0,5,1
"['Sand Force', 'Sheer Force', 'Intimidate']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,145,30720,90,600,3,Abundance Pokémon,90,1250000,1.5,89,Landlos (keshin Forme)ランドロス,Landorus,100.0,645,105,80,91,ground,flying,68.0,5,1
"['Pressure', 'Teravolt', 'Turboblaze']",1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,120,30720,0,700,3,Boundary Pokémon,90,1250000,3.0,125,Kyuremキュレム,Kyurem,,646,170,100,95,dragon,ice,325.0,5,1
['Justified'],0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,72,20480,35,580,3,Colt Pokémon,90,1250000,1.4,91,Keldeo (itsumo No Sugata)ケルディオ,Keldeo,,647,129,90,108,water,fighting,48.5,5,1
['Serene Grace'],2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,128,30720,100,600,3,Melody Pokémon,90,1250000,0.6,100,Meloetta (step Forme)メロエッタ,Meloetta,,648,77,77,128,normal,psychic,6.5,5,1
['Download'],0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,120,30720,0,600,3,Paleozoic Pokémon,95,1250000,1.5,71,Genesectゲノセクト,Genesect,,649,120,95,99,bug,steel,82.5,5,1
['Fairy Aura'],0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,131,30720,0,680,45,Life Pokémon,95,1250000,3.0,126,Xerneasゼルネアス,Xerneas,,716,131,98,99,fairy,,215.0,6,1
['Dark Aura'],1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,131,30720,0,680,45,Destruction Pokémon,95,1250000,5.8,126,Yveltalイベルタル,Yveltal,,717,131,98,99,dark,flying,203.0,6,1
"['Aura Break', 'Power Construct']",1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,100,30720,0,708,3,Order Pokémon,121,1250000,5.0,216,Zygarde (10% Forme)ジガルデ,Zygarde,,718,91,95,85,dragon,ground,284.6,6,1
['Clear Body'],0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,4.0,2.0,160,6400,70,700,3,Jewel Pokémon,110,1250000,0.7,50,Diancieディアンシー,Diancie,,719,160,110,110,rock,fairy,8.8,6,1
['Magician'],1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,160,30720,100,680,3,Mischief Pokémon (Confined)Djinn Pokémonn (Unbound),60,1250000,,80,Hoopa (imashimerareshi Hoopa)フーパ,Hoopa,,720,170,130,80,psychic,ghost,,6,1
['Water Absorb'],0.5,1.0,1.0,2.0,0.5,1.0,0.25,1.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,2.0,0.25,1.0,110,30720,100,600,3,Steam Pokémon,120,1250000,1.7,80,Volcanionボルケニオン,Volcanion,,721,130,90,70,fire,water,195.0,6,1
"['Electric Surge', 'Telepathy']",0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,115,3840,70,570,3,Land Spirit Pokémon,85,1250000,1.8,70,Kapu-kokekoカプ・コケコ,Tapu Koko,,785,95,75,130,electric,fairy,20.5,7,1
"['Psychic Surge', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,85,3840,70,570,3,Land Spirit Pokémon,75,1250000,1.2,70,Kapu-tetefuカプ・テテフ,Tapu Lele,,786,130,115,95,psychic,fairy,18.6,7,1
"['Grassy Surge', 'Telepathy']",1.0,0.5,0.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,0.5,2.0,1.0,4.0,1.0,1.0,2.0,0.5,130,3840,70,570,3,Land Spirit Pokémon,115,1250000,1.9,70,Kapu-bululカプ・ブルル,Tapu Bulu,,787,85,95,75,grass,fairy,45.5,7,1
"['Misty Surge', 'Telepathy']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,75,3840,70,570,3,Land Spirit Pokémon,115,1250000,1.3,70,Kapu-rehireカプ・レヒレ,Tapu Fini,,788,95,130,85,water,fairy,21.2,7,1
['Unaware'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,29,30720,0,200,45,Nebula Pokémon,31,1250000,0.2,43,Cosmogコスモッグ,Cosmog,,789,29,31,37,psychic,,0.1,7,1
['Sturdy'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,29,30720,0,400,45,Protostar Pokémon,131,1250000,0.1,43,Cosmovumコスモウム,Cosmoem,,790,29,131,37,psychic,,999.9,7,1
['Full Metal Body'],1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,137,30720,0,680,45,Sunne Pokémon,107,1250000,3.4,137,Solgaleoソルガレオ,Solgaleo,,791,113,89,97,psychic,steel,230.0,7,1
['Shadow Shield'],1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,113,30720,0,680,45,Moone Pokémon,89,1250000,4.0,137,Lunalaルナアーラ,Lunala,,792,137,107,97,psychic,ghost,120.0,7,1
['Beast Boost'],0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,4.0,1.0,0.5,0.25,2.0,1.0,2.0,2.0,53,30720,0,570,45,Parasite Pokémon,47,1250000,1.2,109,Uturoidウツロイド,Nihilego,,793,127,131,103,rock,poison,55.5,7,1
['Beast Boost'],0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,139,30720,0,570,25,Swollen Pokémon,139,1250000,2.4,107,Massivoonマッシブーン,Buzzwole,,794,53,53,79,bug,fighting,333.6,7,1
['Beast Boost'],0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,137,30720,0,570,255,Lissome Pokémon,37,1250000,1.8,71,Pheroacheフェローチェ,Pheromosa,,795,137,37,151,bug,fighting,25.0,7,1
['Beast Boost'],1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,89,30720,0,570,30,Glowing Pokémon,71,1250000,3.8,83,Denjyumokuデンジュモク,Xurkitree,,796,173,71,83,electric,,100.0,7,1
['Beast Boost'],0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,101,30720,0,570,25,Launch Pokémon,103,1250000,9.2,97,Tekkaguyaテッカグヤ,Celesteela,,797,107,101,61,steel,flying,999.9,7,1
['Beast Boost'],1.0,1.0,0.5,0.5,0.5,2.0,4.0,1.0,1.0,0.25,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,181,30720,0,570,255,Drawn Sword Pokémon,131,1250000,0.3,59,Kamiturugiカミツルギ,Kartana,,798,59,31,109,grass,steel,0.1,7,1
['Beast Boost'],2.0,0.5,2.0,0.5,4.0,2.0,0.5,1.0,0.5,0.5,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5,101,30720,0,570,15,Junkivore Pokémon,53,1250000,5.5,223,Akuzikingアクジキング,Guzzlord,,799,97,53,43,dark,dragon,888.0,7,1
['Prism Armor'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,107,30720,0,600,3,Prism Pokémon,101,1250000,2.4,97,Necrozmaネクロズマ,Necrozma,,800,127,89,79,psychic,,230.0,7,1
['Soul-Heart'],0.25,0.5,0.0,1.0,0.5,1.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,95,30720,0,600,3,Artificial Pokémon,115,1250000,1.0,80,Magearnaマギアナ,Magearna,,801,130,115,65,steel,fairy,80.5,7,1
